,index,str_except_identifiers,str_uniq_identifiers,perc
0,Exception,18674,Exception,31.89
1,ValueError,7449,ValueError,12.72
2,KeyError,5803,KeyError,9.91
3,AttributeError,4193,AttributeError,7.16
4,OSError,3891,OSError,6.64
5,TypeError,3768,TypeError,6.43
6,ImportError,2941,ImportError,5.02
7,IndexError,1947,IndexError,3.32
8,IOError,1171,IOError,2.0
9,KeyboardInterrupt,1116,KeyboardInterrupt,1.91
10,DoesNotExist,1074,DoesNotExist,1.83
12,StopIteration,979,StopIteration,1.67
13,RuntimeError,962,RuntimeError,1.64
15,FileNotFoundError,886,FileNotFoundError,1.51
17,AssertionError,730,AssertionError,1.25
18,ValidationError,635,ValidationError,1.08
19,CalledProcessError,611,CalledProcessError,1.04
21,BaseException,597,BaseException,1.02
23,UnicodeDecodeError,572,UnicodeDecodeError,0.98
24,NotImplementedError,566,NotImplementedError,0.97
