fix_grp,Bare Except,Bare Raise,Bare Raise Inside Finally,Nested Try,Swallowing Exception,Too Broad Except,Too Broad Raising,Try and Return
Change the the exception code logic,14.55,16.36,1.82,7.27,21.82,32.73,3.64,1.82
EH Anti-Patterns,20.0,,,10.0,40.0,30.0,,
Exception handling block operations,16.02,17.96,,8.74,19.9,35.92,1.46,
Exception type operations,14.77,18.79,,4.7,22.82,36.24,1.34,1.34
Fix API version,66.67,,,,,33.33,,
Import with a exception handling code,,,,,100.0,,,
Improve raising conditions,11.67,36.67,,1.67,5.0,40.0,5.0,
Improve the Finally Mechanism,,,,,,100.0,,
Improve the message error,11.11,11.11,,22.22,11.11,44.44,,
Re-raise a exception,,30.0,,10.0,,60.0,,
